"abstract","pub_date","publisher","raw_body","cleaned_body"
"The lawsuit accuses President Trump of vastly overstepping his authority to “upturn the electoral playing field in his favor and against his political rivals.”",2025-04-01,"The New York Times","Trump Administration Advertisement Supported by The lawsuit accuses President Trump of vastly overstepping his authority to “upturn the electoral playing field in his favor and against his political rivals.” By Nick Corasaniti Nearly every arm of the Democratic Party united in filing a lawsuit against the Trump administration on Monday night, arguing that a recent executive order signed by the president seeking to require documentary proof of citizenship and other voting reforms is unconstitutional. The 70-page lawsuit, filed in Federal District Court in Washington, D.C., accuses the president of vastly overstepping his authority to “upturn the electoral playing field in his favor and against his political rivals.” It lists President Trump and multiple members of his administration as defendants. “Although the order extensively reflects the president’s personal grievances, conspiratorial beliefs and election denialism, nowhere does it (nor could it) identify any legal authority he possesses to impose such sweeping changes upon how Americans vote,” the lawsuit says. “The reason why is clear: The president possesses no such authority.” The lawsuit repeatedly argues that the Constitution gives the president no explicit authority to regulate elections, noting that the Elections Clause of the Constitution “is at the core of this action.” That clause says that states set the “times, places and manner” of elections, leaving them to decide the rules, oversee voting and try to prevent fraud. Congress may also pass federal voting laws. As Democrats debate how best to challenge the Trump administration’s rapid expansion of executive power, the lawsuit represents one of the first moments where seemingly every arm of the party is pushing back with one voice. Such unity is further evidence that Democrats still view the issue of democracy as core to their political brand, as well as a key issue that can help them claw back support with voters as they aim to build a new coalition ahead of the 2026 midterm elections. In February, Democrats sued the Trump administration over attempts to control the Federal Election Commission. Weeks earlier, the D.N.C. joined a lawsuit over new voting laws in Georgia. We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit and log into your Times account, or subscribe for all of The Times. Thank you for your patience while we verify access. Already a subscriber? Log in. Want all of The Times? Subscribe. Advertisement","trump administration lawsuit accuses president trump vastly overstepping authority upturn electoral playing field favor political rivals nick corasaniti nearly every arm democratic party united filing lawsuit trump administration monday night arguing recent executive order signed president seeking require documentary proof citizenship voting reforms unconstitutional page lawsuit filed federal district court washington dc accuses president vastly overstepping authority upturn electoral playing field favor political rivals lists president trump multiple members administration defendants although order extensively reflects president personal grievances conspiratorial beliefs election denialism nowhere identify legal authority possesses impose sweeping changes upon americans vote lawsuit says reason clear president possesses authority lawsuit repeatedly argues constitution gives president explicit authority regulate elections noting elections clause constitution core action clause says states set times places manner elections leaving decide rules oversee voting try prevent fraud congress may also pass federal voting laws democrats debate best challenge trump administration rapid expansion executive power lawsuit represents one first moments seemingly every arm party pushing back one voice unity evidence democrats still view issue democracy core political brand well key issue can help claw back support voters aim build new coalition ahead midterm elections february democrats sued trump administration attempts control federal election commission weeks earlier dnc joined lawsuit new voting laws georgia"
"Pete Hegseth, the defense secretary, mandated that physical fitness requirements for combat jobs be “sex-neutral,” a move that is likely to significantly reduce the number of women who qualify.",2025-04-01,"The New York Times","Advertisement Supported by Pete Hegseth, the defense secretary, mandated that physical fitness requirements for combat jobs be “sex-neutral,” a move that is likely to significantly reduce the number of women who qualify. By Chris Cameron Reporting from Washington The Pentagon this week ordered the elimination of lower physical fitness standards for women in combat units, a move that is likely to hinder the recruitment and retention of women in particularly dangerous military jobs. An order by Pete Hegseth, the defense secretary, dated Sunday and announced on Monday, mandated that all physical fitness requirements for combat arms positions — units likely to see significant fighting in wartime — be “sex-neutral,” which is likely to significantly reduce the number of women who meet the requirements. The order directs military leadership to implement the new fitness standards by the end of October. The U.S. military has fiercely debated the issue of how to fairly grade women’s physical fitness in testing to determine their placement into physically demanding combat jobs and their advancement in leadership roles. After years of internal deliberation over new annual fitness tests, the Army eased the grading standards for women and older service members in 2022. A study by the RAND research corporation published that year found that women and older troops were failing the new test at significantly higher rates than men and younger troops. Other branches of the military have also had different fitness test standards for men and women. For example, the Marines have a strength test for all recruits: Men must complete three pull-ups or 34 push-ups in under two minutes. Women must complete one pull-up or 15 push-ups in the same time frame. Those gender-specific standards will remain for some military jobs, Mr. Hegseth said in a statement accompanying the order. But he argued that women should not be allowed in combat units if they could not meet the same fitness standards as men. We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit and log into your Times account, or subscribe for all of The Times. Thank you for your patience while we verify access. Already a subscriber? Log in. Want all of The Times? Subscribe. Advertisement","pete hegseth defense secretary mandated physical fitness requirements combat jobs sex neutral move likely significantly reduce number women qualify chris cameron reporting washington pentagon week ordered elimination lower physical fitness standards women combat units move likely hinder recruitment retention women particularly dangerous military jobs order pete hegseth defense secretary dated sunday announced monday mandated physical fitness requirements combat arms positions units likely see significant fighting wartime sex neutral likely significantly reduce number women meet requirements order directs military leadership implement new fitness standards end october us military fiercely debated issue fairly grade women physical fitness testing determine placement physically demanding combat jobs advancement leadership roles years internal deliberation new annual fitness tests army eased grading standards women older service members study rand research corporation published year found women older troops failing new test significantly higher rates men younger troops branches military also different fitness test standards men women example marines strength test recruits men must complete three pull ups push ups two minutes women must complete one pull push ups time frame gender specific standards remain military jobs mr hegseth said statement accompanying order argued women allowed combat units meet fitness standards men"
"The state attorney general had raised the possibility of charging doctors with criminal conspiracy for recommending abortion care out of state.",2025-04-01,"The New York Times","Advertisement Supported by The state attorney general had raised the possibility of charging doctors with criminal conspiracy for recommending abortion care out of state. By Emily Cochrane Emily Cochrane covers the American South. Alabama cannot prosecute doctors and reproductive health organizations for helping patients travel out of the state to obtain abortions, a federal judge ruled on Monday. Alabama has one of the strictest abortion bans in the country, and in 2022 its attorney general, Steve Marshall, a Republican, raised the possibility of charging doctors with criminal conspiracy for recommending abortion care out of state. Multiple clinics and doctors challenged Mr. Marshall’s comments in court, accusing him of threatening their First Amendment rights, as well as the constitutional right to travel. The Justice Department under the Biden administration had also weighed in with support for the clinics, arguing that “threatened criminal prosecutions violate a bedrock principle of American constitutional law.” On Monday, the judge, Myron H. Thompson of the Middle District of Alabama, in Montgomery, ruled that Mr. Marshall would be violating both the First Amendment and the right to travel if he sought prosecution. “It is one thing for Alabama to outlaw by statute what happens in its own backyard,” Judge Thompson, who was named to the court by President Jimmy Carter, wrote in his 131-page opinion. “It is another thing,” he added, “for the state to enforce its values and laws, as chosen by the attorney general, outside its boundaries by punishing its citizens and others who help individuals travel to another state to engage in conduct that is lawful there but the attorney general finds to be contrary to Alabama’s values and laws.” We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit and log into your Times account, or subscribe for all of The Times. Thank you for your patience while we verify access. Already a subscriber? Log in. Want all of The Times? Subscribe. Advertisement","state attorney general raised possibility charging doctors criminal conspiracy recommending abortion care state emily cochrane alabama prosecute doctors reproductive health organizations helping patients travel state obtain abortions federal judge ruled monday alabama one strictest abortion bans country attorney general steve marshall republican raised possibility charging doctors criminal conspiracy recommending abortion care state multiple clinics doctors challenged mr marshall comments court accusing threatening first amendment rights well constitutional right travel justice department biden administration also weighed support clinics arguing threatened criminal prosecutions violate bedrock principle american constitutional law monday judge myron h thompson middle district alabama montgomery ruled mr marshall violating first amendment right travel sought prosecution one thing alabama outlaw statute happens backyard judge thompson named court president jimmy carter wrote page opinion another thing added state enforce values laws chosen attorney general outside boundaries punishing citizens others help individuals travel another state engage conduct lawful attorney general finds contrary alabama values laws"
"Voters in a crucial court race and two House special elections will provide hints of how the country views President Trump and Elon Musk, months after they took power.",2025-04-01,"The New York Times","Elections Advertisement Supported by Voters in a crucial court race and two House special elections will provide hints of how the country views President Trump and Elon Musk, months after they took power. transcript “Well, I think it’s an important race to make sure that we have some, what I think is representative judicial people instead of people that are bought and sold.” “I’m appealing to Wisconsin voters. The national attention, it’s — I think it’s helping to drive some attention to this race, but ultimately it’s the Wisconsin voters that matter.” “The involvement of Elon Musk, specifically, is something I did feel that I had to comment on, particularly when he started engaging in shenanigans like paying voters to sign petitions and giving away $1 million. I don’t think that’s democratic to — for a billionaire to use his wealth in that way.” By Reid J. Epstein and Emily Cochrane Reid J. Epstein reported from Madison, Wis., and Emily Cochrane from Daytona Beach, Fla. Two states nearly a thousand miles apart will on Tuesday provide the best evidence yet of whether President Trump and his Republican allies maintain robust support or whether they face a growing backlash led by a re-energized Democratic Party. In Wisconsin, a nearly $100 million race for control of the State Supreme Court has morphed from an important clash over the state’s direction into a referendum on Elon Musk’s supersized role in national politics. In Florida, one of two special elections for deep-red House seats suddenly seems too close for comfort for Republicans. Democrats, while still expecting to lose, are watching the margins closely for signs that their party is ascendant. [We’re tracking each party’s turnout for Tuesday’s special House elections in Florida.] Here are five big questions heading into Tuesday’s elections. Mr. Musk’s support for Brad Schimel, the conservative candidate in Wisconsin, has been a full-service political operation. Get live results and maps from the 2025 Wisconsin spring elections. Get live results and maps from the 2025 Florida special election. We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit and log into your Times account, or subscribe for all of The Times. Thank you for your patience while we verify access. Already a subscriber? Log in. Want all of The Times? Subscribe. Advertisement","elections voters crucial court race two house special elections provide hints country views president trump elon musk months took power transcript well think important race make sure think representative judicial people instead people bought sold m appealing wisconsin voters national attention think helping drive attention race ultimately wisconsin voters matter involvement elon musk specifically something feel comment particularly started engaging shenanigans like paying voters sign petitions giving away million don t think democratic billionaire use wealth way reid j epstein emily cochrane reid j epstein reported madison wis emily cochrane daytona beach fla two states nearly thousand miles apart tuesday provide best evidence yet whether president trump republican allies maintain robust support whether face growing backlash led re energized democratic party wisconsin nearly million race control state supreme court morphed important clash state direction referendum elon musk supersized role national politics florida one two special elections deep red house seats suddenly seems close comfort republicans democrats still expecting lose watching margins closely signs party ascendant five big questions heading tuesday elections mr musk support brad schimel conservative candidate wisconsin full service political operation get live results maps wisconsin spring elections get live results maps florida special election"
"Harvard, the wealthiest school in the world, sought compromise amid pressure to do more to combat antisemitism. The Trump administration is examining its funding anyway.",2025-04-01,"The New York Times","Campus Crackdown Advertisement Supported by Harvard, the wealthiest school in the world, sought compromise amid pressure to do more to combat antisemitism. The Trump administration is examining its funding anyway. By Vimal Patel The Trump administration has turned campaign promises to target universities into devastating action, pulling hundreds of millions in federal funds from Columbia University and the University of Pennsylvania. On Monday, the Trump administration went after Harvard, the world’s wealthiest university, announcing that it would review about $9 billion in contracts and multiyear grants. It accused the university of failing to protect Jewish students and promoting “divisive ideologies over free inquiry.” Harvard had been bracing for the development. In recent months, it had moved cautiously, seeking compromise and, critics said, cracking down on speech. The approach riled some who worried that Harvard was capitulating at a moment of creeping authoritarianism. Though it remains unclear how much the university will actually lose, if anything, the move on Monday shows that the conciliatory approach hasn’t fended off its critics yet. In the days leading up to the Trump administration’s announcement, faculty members called on the university instead to more forcefully defend itself and higher education more broadly. In a letter, more than 700 faculty members called for Harvard to “mount a coordinated opposition to these anti-democratic attacks.” “As much as a body blow from the administration would hurt us, Harvard has the capacity to withstand the blow,” said Steven Levitsky, a Harvard political science professor who circulated the letter. We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit and log into your Times account, or subscribe for all of The Times. Thank you for your patience while we verify access. Already a subscriber? Log in. Want all of The Times? Subscribe. Advertisement","campus crackdown harvard wealthiest school world sought compromise amid pressure combat antisemitism trump administration examining funding anyway vimal patel trump administration turned campaign promises target universities devastating action pulling hundreds millions federal funds columbia university university pennsylvania monday trump administration went harvard world wealthiest university announcing review billion contracts multiyear grants accused university failing protect jewish students promoting divisive ideologies free inquiry harvard bracing development recent months moved cautiously seeking compromise critics said cracking speech approach riled worried harvard capitulating moment creeping authoritarianism though remains unclear much university actually lose anything move monday shows conciliatory approach hasn t fended critics yet days leading trump administration announcement faculty members called university instead forcefully defend higher education broadly letter faculty members called harvard mount coordinated opposition anti democratic attacks much body blow administration hurt us harvard capacity withstand blow said steven levitsky harvard political science professor circulated letter"
"President Trump justifies his plan to shutter the Education Department by saying that states should control schools. He’s using the idea to explain other policies now, too.",2025-04-01,"The New York Times","Trump Administration Advertisement Supported by President Trump justifies his plan to shutter the Education Department by saying that states should control schools. He’s using the idea to explain other policies now, too. By Michael C. Bender Reported from Washington President Trump’s interest in closing down the Education Department was never front and center to any of his three White House campaigns, but his explanation for shuttering the agency has always remained consistent. “Move it back to the states,” Mr. Trump said in his third month as a candidate in 2015. In the final days of the 2024 race, he told supporters, “Your state is going to control your children’s education.” Very little control over education has ever resided with the federal government, which is mainly in charge of administering college loans and enforcing civil rights in schools. Even so, Mr. Trump deployed the back-to-the-states mantra again when signing an executive order on March 20 to close the department. The title of the order was: “Improving Education Outcomes by Empowering Parents, States, and Communities.” The maneuver has long been a calling card of politicians from the conservative establishment advocating a smaller federal government and more local control, and is now a central tenet of the second Trump administration when it comes to a host of issues, from abortion and cutting regulations to hiking tariffs. But states are not necessarily positioned to replicate the oversight functions that the federal government has played, particularly on education matters. Mr. Trump used the tactic during the 2024 presidential race to sidestep questions about abortion rights by saying that states should decide the issue — a particularly brazen move after he stacked the Supreme Court with conservative judges to overturn Roe v. Wade. More recently, Mr. Trump and others in his administration have pushed to eliminate the Federal Emergency Management Agency, saying states would do a better job. The move appears to ignore the agency’s core principle that the best practice for disaster relief is “locally executed, state managed, and federally supported.” We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit and log into your Times account, or subscribe for all of The Times. Thank you for your patience while we verify access. Already a subscriber? Log in. Want all of The Times? Subscribe. Advertisement","trump administration president trump justifies plan shutter education department saying states control schools using idea explain policies now michael c bender reported washington president trump interest closing education department never front center three white house campaigns explanation shuttering agency always remained consistent move back states mr trump said third month candidate final days race told supporters state going control children education little control education ever resided federal government mainly charge administering college loans enforcing civil rights schools even mr trump deployed back states mantra signing executive order march close department title order improving education outcomes empowering parents states communities maneuver long calling card politicians conservative establishment advocating smaller federal government local control now central tenet second trump administration comes host issues abortion cutting regulations hiking tariffs states necessarily positioned replicate oversight functions federal government played particularly education matters mr trump used tactic presidential race sidestep questions abortion rights saying states decide issue particularly brazen move stacked supreme court conservative judges overturn roe v wade recently mr trump others administration pushed eliminate federal emergency management agency saying states better job move appears ignore agency core principle best practice disaster relief locally executed state managed federally supported"
"A Senate hearing on Tuesday could be just the first exercise in needle-threading for Lt. Gen. Dan Caine as he tries to maintain credibility with President Trump while staying true to military norms.",2025-04-01,"The New York Times","Signal Leaks Advertisement Supported by A Senate hearing on Tuesday could be just the first exercise in needle-threading for Lt. Gen. Dan Caine as he tries to maintain credibility with President Trump while staying true to military norms. By Sharon LaFraniere and Eric Schmitt Reported from Washington Lt. Gen. Dan Caine’s pocket-size copy of the Constitution is tattered and bound with green military tape. He carries it with him routinely, including slipping it in his flight suit when he flew fighter jets in the Air Force. He had it on him on Sept. 11, 2001, when he was the lead aviator assigned to protect Washington after hijackers slammed commercial jets into the Pentagon and the World Trade Center. General Caine’s loyalty to the Constitution and his reputation for adhering to ethical standards are major reasons the Senate Armed Services Committee is likely to give him a largely friendly reception on Tuesday as the members consider his nomination to become the chairman of the Joint Chiefs of Staff, the nation’s highest-ranking military position. General Caine’s writings, coupled with interviews with some who know him, paint a portrait of a modest, thoughtful and personable officer with a reputation for integrity. That sets him apart from some other high-ranking administration officials who often appear to place their fealty to the president above all else. “He has strong moral fiber,” said Raj Shah, who led a high-level Defense Department unit on innovation and has known General Caine for 20 years. He added, “He is one of the most humble, principled and strategic leaders I have known.” But General Caine will still have to navigate some tough questions about whether he will give his best unvarnished military advice to President Trump or tell him what he wants to hear. We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit and log into your Times account, or subscribe for all of The Times. Thank you for your patience while we verify access. Already a subscriber? Log in. Want all of The Times? Subscribe. Advertisement","signal leaks senate hearing tuesday just first exercise needle threading lt gen dan caine tries maintain credibility president trump staying true military norms sharon lafraniere gen dan caine pocket size copy constitution tattered bound green military tape carries routinely including slipping flight suit flew fighter jets air force sept lead aviator assigned protect washington hijackers slammed commercial jets pentagon world trade center general caine loyalty constitution reputation adhering ethical standards major reasons senate armed services committee likely give largely friendly reception tuesday members consider nomination become chairman joint chiefs staff nation highest ranking military position general caine writings coupled interviews know paint portrait modest thoughtful personable officer reputation integrity sets apart high ranking administration officials often appear place fealty president else strong moral fiber said raj shah led high level defense department unit innovation known general caine years added one humble principled strategic leaders known general caine still navigate tough questions whether give best unvarnished military advice president trump tell wants hear"
"The New Jersey senator spent much of his speech, which ended after more than 25 hours, assailing the Trump administration. He eclipsed Strom Thurmond’s filibuster of a civil rights bill in 1957.",2025-04-01,"The New York Times","Trump Administration Advertisement Supported by The New Jersey senator spent much of his speech, which ended after more than 25 hours, assailing the Trump administration. He eclipsed Strom Thurmond’s filibuster of a civil rights bill in 1957. transcript “The Senator from New Jersey.” “I just want to tell you what John Lewis said. It’s a quote so many people know. He said, “get in good trouble, necessary trouble.” So tonight, I rise with the intention of getting in some good trouble. I rise with the intention of disrupting the normal business of the United States Senate for as long as I am physically able. In just 71 days, the president of the United States has inflicted so much harm on Americans’ safety, financial stability, the core foundations of our democracy and even our aspirations as a people for — from our highest offices, a sense of common decency. This is a moral moment. It’s not left to right. It’s right or wrong. Let’s get in good trouble. My friend, madam president, I yield the floor.” By Tim BalkMike Ives and Matthew Mpoke Bigg Senator Cory Booker, his voice still booming after more than a day spent on the Senate floor railing against the Trump administration, on Tuesday night surpassed Strom Thurmond for the longest Senate speech on record, in an act of astonishing stamina that he framed as a call to action. Mr. Booker, a New Jersey Democrat and one-time presidential candidate, began his speech at 7 p.m. on Monday, vowing to speak as long as he was “physically able.” In a show of physical and oratorical endurance, he lasted past sunset on Tuesday, assailing President Trump’s cuts to government agencies and crackdown on immigration. He ended his speech at 8:05 p.m., 46 minutes after eclipsing Mr. Thurmond’s 24-hour 18-minute filibuster of a civil rights bill in 1957. He finished by quoting John Lewis, the civil rights hero and congressman. Mr. Booker said of Lewis: “He said for us to go out and cause some good trouble, necessary trouble, to redeem the soul of our nation. I want you to redeem the dream. Let’s be bold in America.” Earlier, cheers broke out in the chamber when Mr. Booker passed Mr. Thurmond. For a moment, Mr. Booker addressed the man he had eclipsed. “To hate him is wrong, and maybe my ego got too caught up that if I stood here, maybe, maybe, just maybe, I could break this record of the man who tried to stop the rights upon which I stand,” Mr. Booker said. “I’m not here though because of his speech. I’m here despite his speech. I’m here because as powerful as he was, the people were more powerful.” Earlier, at 4:20 p.m., Mr. Booker passed Senator Ted Cruz’s memorable 21-hour-and-19-minute harangue of President Barack Obama’s Affordable Care Act in 2013. As the hours dragged on Tuesday and Mr. Booker kept speaking, tens of thousands followed along on livestreams, curious to see how long he might go. We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit and log into your Times account, or subscribe for all of The Times. Thank you for your patience while we verify access. Already a subscriber? Log in. Want all of The Times? Subscribe. Advertisement","trump administration new jersey senator spent much speech ended hours assailing trump administration eclipsed strom thurmond filibuster civil rights bill transcript senator new jersey just want tell john lewis said quote many people know said get good trouble necessary trouble tonight rise intention getting good trouble rise intention disrupting normal business united states senate long physically able just days president united states inflicted much harm americans safety financial stability core foundations democracy even aspirations people highest offices sense common decency moral moment left right right wrong let get good trouble friend madam president yield floor tim balkmike ives matthew mpoke bigg senator cory booker voice still booming day spent senate floor railing trump administration tuesday night surpassed strom thurmond longest senate speech record act astonishing stamina framed call action mr booker new jersey democrat one time presidential candidate began speech pm monday vowing speak long physically able show physical oratorical endurance lasted past sunset tuesday assailing president trump cuts government agencies crackdown immigration ended speech pm minutes eclipsing mr thurmond hour minute filibuster civil rights bill finished quoting john lewis civil rights hero congressman mr booker said lewis said us go cause good trouble necessary trouble redeem soul nation want redeem dream let bold america earlier cheers broke chamber mr booker passed mr thurmond moment mr booker addressed man eclipsed hate wrong maybe ego got caught stood maybe maybe just maybe break record man tried stop rights upon stand mr booker said m though speech m despite speech m powerful people powerful earlier pm mr booker passed senator ted cruz memorable hour minute harangue president barack obama affordable care act hours dragged tuesday mr booker kept speaking tens thousands followed along livestreams curious see long might go"
"Momodou Taal, a Ph.D. student who had been suspended by the university after participating in pro-Palestinian protests, said he “took the decision to leave the United States.”",2025-04-01,"The New York Times","Campus Crackdown Advertisement Supported by Momodou Taal, a Ph.D. student who had been suspended by the university after participating in pro-Palestinian protests, said he “took the decision to leave the United States.” By Matthew Mpoke Bigg A British-Gambian Ph.D. student at Cornell University who had faced possible deportation after participating in pro-Palestinian protests said on Monday that he had left the United States. The student, Momodou Taal, who had been suspended by the university at least twice, including for participating in what it said was an unruly protest, is one of at least nine international students who the Trump administration has sought to remove from the country because of activities it calls antisemitic. Mr. Taal had not been detained, unlike some of the other students, and had filed a suit attempting to block the legal proceedings against him. In a statement on the social media platform X, Mr. Taal indicated that he had left the country. “I took the decision to leave the United States, free and with my head held high,” Mr. Taal wrote. He said that federal Immigration and Customs Enforcement personnel had come to his home and revoked his visa. The agency referred a request for comment to the Department of Homeland Security. “Given what we have seen across the United States, I have lost faith that a favorable ruling from the courts would guarantee my personal safety and ability to express my beliefs,” he said in the statement. He warned that others were also at risk, and renewed his support for Palestinians. Mr. Taal had been one of the leaders of a tent protest on the campus lawn at Cornell, in Ithaca, N.Y., in which students urged the university to divest its holdings in companies that they said supported Israel’s military campaign against Hamas militants in Gaza. On Oct. 7, 2023, the day that Hamas attacked Israel and set off the war, he wrote online, “Glory to the Resistance.” After returning to office in January, President Trump signed an executive order saying that the United States would use “all available and appropriate legal tools” to “remove” aliens who engage in “unlawful antisemitic harassment and violence.” Last month, ICE personnel detained Mahmoud Khalil, a Columbia University graduate student. They have also sought others, including Yunseo Chung, a legal permanent resident who moved to the United States from South Korea when she was 7. Officials in the Trump administration have argued in several cases that a “visa is a privilege, not a right.” Civil rights advocates have called the deportation effort one of the biggest assaults on free speech in the United States in decades. The Department of Homeland Security confirmed in a statement that Mr. Taal had left the country and said, “It is a privilege to be granted a visa to live and study in the United States of America. When you advocate for violence and terrorism, that privilege should be revoked.” Mr. Taal, who holds joint British and Gambian citizenship, was in the United States on a student visa. He had been working toward a Ph.D. in Africana studies. Matthew Mpoke Bigg is a London-based reporter on the Live team at The Times, which covers breaking and developing news. Advertisement","campus crackdown momodou taal phd student suspended university participating pro palestinian protests said took decision leave united states matthew mpoke bigg british gambian phd student cornell university faced possible deportation participating pro palestinian protests said monday left united states student momodou taal suspended university least twice including participating said unruly protest one least nine international students trump administration sought remove country activities calls antisemitic mr taal detained unlike students filed suit attempting block legal proceedings statement social media platform x mr taal indicated left country took decision leave united states free head held high mr taal wrote said federal immigration customs enforcement personnel come home revoked visa agency referred request comment department homeland security given seen across united states lost faith favorable ruling courts guarantee personal safety ability express beliefs said statement warned others also risk renewed support palestinians mr taal one leaders tent protest campus lawn cornell ithaca ny students urged university divest holdings companies said supported israel military campaign hamas militants gaza oct day hamas attacked israel set war wrote online glory resistance returning office january president trump signed executive order saying united states use available appropriate legal tools remove aliens engage unlawful antisemitic harassment violence last month ice personnel detained mahmoud khalil columbia university graduate student also sought others including yunseo chung legal permanent resident moved united states south korea officials trump administration argued several cases visa privilege right civil rights advocates called deportation effort one biggest assaults free speech united states decades department homeland security confirmed statement mr taal left country said privilege granted visa live study united states america advocate violence terrorism privilege revoked mr taal holds joint british gambian citizenship united states student visa working toward phd africana studies matthew mpoke bigg london based reporter live team times covers breaking developing news"
"Brad Lander, the comptroller, said Elon Musk’s actions on behalf of the Trump administration had hurt Tesla’s stock price.",2025-04-01,"The New York Times","Advertisement Supported by Brad Lander, the comptroller, said Elon Musk’s actions on behalf of the Trump administration had hurt Tesla’s stock price. By Jeffery C. Mays The head of New York City’s pension funds called for a shareholder lawsuit against Tesla, accusing Elon Musk, its chief executive, of causing the company’s shares to plunge because of his actions to slash spending and the federal work force as head of the Trump administration’s cost-cutting effort. In a letter sent late Monday to the New York City Law Department and reviewed by The New York Times, Brad Lander, the comptroller who oversees the city’s five public pension funds, said the highly contested cost-cutting measures by Mr. Musk’s initiative, the Department of Government Efficiency, are hurting Tesla’s stock. He accused Mr. Musk, the world’s richest person, of “effectively quitting his job at Tesla” and “promoting policies” that have been harmful to Tesla’s business. “As the market has learned the truth, bit by bit, that Musk has in fact abandoned Tesla in favor of DOGE, where he was taking actions that alienated Tesla’s consumer base and causing Tesla’s sales to severely decline, the share price has dropped in response,” Mr. Lander wrote in a letter to Muriel Goode-Trufant, the corporation counsel for New York City. The letter was seen as a likely precursor to a lawsuit because Ms. Goode-Trufant is the lawyer for the pension funds. As a result, the letter said, the value of the pension system’s Tesla holdings has dropped by 34 percent from Dec. 31 to March 28, to $831 million from $1.26 billion. Mr. Lander, in an interview, said that Tesla had emphasized the importance of Mr. Musk’s involvement to the electric car maker’s success, but had falsely represented that he spends “significant time on the company and is highly active” in its management. He said that he hoped the lawsuit will help recover some of the losses and compel Tesla to make policy and governance changes. We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit and log into your Times account, or subscribe for all of The Times. Thank you for your patience while we verify access. Already a subscriber? Log in. Want all of The Times? Subscribe. Advertisement","brad lander comptroller said elon musk actions behalf trump administration hurt tesla stock price jeffery c mays head new york city pension funds called shareholder lawsuit tesla accusing elon musk chief executive causing company shares plunge actions slash spending federal work force head trump administration cost cutting effort letter sent late monday new york city law department reviewed new york times brad lander comptroller oversees city five public pension funds said highly contested cost cutting measures mr musk initiative department government efficiency hurting tesla stock accused mr musk world richest person effectively quitting job tesla promoting policies harmful tesla business market learned truth bit bit musk fact abandoned tesla favor doge taking actions alienated tesla consumer base causing tesla sales severely decline share price dropped response mr lander wrote letter muriel goode trufant corporation counsel new york city letter seen likely precursor lawsuit ms goode trufant lawyer pension funds result letter said value pension system tesla holdings dropped percent dec march million billion mr lander interview said tesla emphasized importance mr musk involvement electric car maker success falsely represented spends significant time company highly active management said hoped lawsuit help recover losses compel tesla make policy governance changes"
